time,model,mean_reward,sd
0,steady-state,0,0
0,TD3,0,0
1,steady-state,0.3522068159464855,0.050085232044513726
1,TD3,0.4262651145399031,0.05009560859978332
2,steady-state,0.6913365742932917,0.09965607606535712
2,TD3,0.7003124624918826,0.35742708946861146
3,steady-state,1.0304111824691329,0.15639108479724625
3,TD3,0.8618490576727387,0.7554586964021768
4,steady-state,1.3683438168983153,0.2182376799253714
4,TD3,1.0026940437096414,1.1565118088758297
5,steady-state,1.7032050004675348,0.28138592452811195
5,TD3,1.071383945514008,1.5722539552458425
6,steady-state,2.0343913705328487,0.34148638756631206
6,TD3,1.1162463915119059,1.9144123508435065
7,steady-state,2.3648997707467667,0.4041529826344192
7,TD3,1.194532560870829,2.246501020877682
8,steady-state,2.6927620216778254,0.4671907195321948
8,TD3,1.2648944646093168,2.554433044430198
9,steady-state,3.0197790841214998,0.531749107977553
9,TD3,1.3031882503332142,2.8852543492968055
10,steady-state,3.3433033633800946,0.5977866869377665
10,TD3,1.3045980192116613,3.126284613201017
11,steady-state,3.661509371643696,0.6716170127650352
11,TD3,1.311793575987317,3.4318018778646824
12,steady-state,3.9705814902948715,0.7413726222975143
12,TD3,1.255066821342876,3.72154493666735
13,steady-state,4.275731568283143,0.8126575008345756
13,TD3,1.201362558776038,3.97883895472193
14,steady-state,4.582481505014802,0.8861408647620928
14,TD3,1.1481695830163885,4.148219937088366
15,steady-state,4.883844173223491,0.9592501912255563
15,TD3,1.0776165930863275,4.356088497392334
16,steady-state,5.179245957814796,1.0342349609171164
16,TD3,1.0566405713802514,4.610851827276167
17,steady-state,5.472215239622343,1.1194970997785216
17,TD3,1.0189474102444724,4.825702984035665
18,steady-state,5.762977744775254,1.206729909519335
18,TD3,0.9523484933314895,5.034418617428189
19,steady-state,6.058651807353118,1.2915763757867862
19,TD3,0.8842116191070083,5.2412567836260235
20,steady-state,6.358455888628051,1.3778478521927306
20,TD3,0.808710887879387,5.477589032294843
21,steady-state,6.65201976821067,1.4706996074336423
21,TD3,0.7659898499605479,5.65029394635479
22,steady-state,6.933098210638332,1.567368086811919
22,TD3,0.7320788843929062,5.833349373329728
23,steady-state,7.209515442207778,1.6690048776016027
23,TD3,0.6963786728296087,6.01145417191847
24,steady-state,7.484375409016256,1.7691314486277852
24,TD3,0.6933561637837918,6.242487067591046
25,steady-state,7.762867306929015,1.872777950327419
25,TD3,0.7129912875938237,6.418203782434987
26,steady-state,8.042365348784125,1.97872937769207
26,TD3,0.7050653327230973,6.5486624850130575
27,steady-state,8.311235038855232,2.0811313016210224
27,TD3,0.7922681466056489,6.70401887427747
28,steady-state,8.56855208163286,2.1777311454332104
28,TD3,0.8595565535569605,6.806616332498391
29,steady-state,8.829307977826792,2.2761525211722704
29,TD3,0.9948630036889248,6.8865996064451975
30,steady-state,9.084929662687129,2.3767678762459137
30,TD3,1.1247383727083968,6.963682349554694
31,steady-state,9.34760387271805,2.4781905444742356
31,TD3,1.311177954306972,7.093450183931947
32,steady-state,9.6035397022596225,2.577004365111472
32,TD3,1.4004276601484618,7.2410585421757245
33,steady-state,9.858940411618082,2.6795672005566082
33,TD3,1.4873382711016698,7.422080690253482
34,steady-state,10.112960826036998,2.7850118215798902
34,TD3,1.526218593557577,7.588261851714787
35,steady-state,10.359520221831458,2.8911560157798033
35,TD3,1.509724392565338,7.715288883604182
36,steady-state,10.604225865271589,2.9990839053893303
36,TD3,1.5777882550719309,7.812654117051052
